id,title,author,publisher,published_year,rating,ISBN
1,Green Tea (LÃ¼ cha),Chery Curnok,Gimon & Sarfunkel,1993,3.4,371747079-5
2,Devil in a Blue Dress,Simmonds Alban,Gearson Education,1979,3.1,690508238-4
3,7th Floor,Sheila Trobe,Stoic Corporation,1978,1.6,008272320-6
4,"Day I Became a Woman, The (Roozi khe zan shodam)",Dasha Longo,Stoic Corporation,1994,3.2,522175558-0
5,Sydney (Hard Eight),Wells Pires,Flenderson Book Group,2007,2.6,074426603-3
6,House of Sand (Casa de Areia),Roselia O'Caherny,Gearson Education,2019,2.5,097582516-X
7,Below,Lorry Litterick,Hawkthrone Learning,2000,3.7,625601688-2
8,The Indian Fighter,Gabie Foldes,Creative Penguin House,1992,3.4,669214174-5
9,Kelly's Heroes,Andriana Taggett,Flenderson Book Group,2020,1.9,141802900-9
10,Bitter Creek,Adelaide Gammill,Hunter Mifflin,2007,2.7,576598571-8
11,Joyful Noise,Hester Donoghue,Gearson Education,1991,2.1,937957528-9
12,Ball of Fire,Mathew Normanvill,Mackillian Publishers,2006,1.3,907853053-7
13,Due Date,Terrijo Pummery,Flenderson Book Group,1999,2.9,940294176-2
14,Ricky,Sam Hobden,Creative Penguin House,1974,1.9,087294352-6
15,Battlestar Galactica: Razor,Rita Jowett,HarpieCrollins,2000,2,694997535-X
16,Two Days,Molli Farney,ArdBoyz Education,1985,3.4,965770828-1
17,Hellraiser: Hellseeker,Mort Clift,HarpieCrollins,2010,1.3,954869802-1
18,Eros Plus Massacre (Erosu purasu Gyakusatsu),Zeke Brightman,HarpieCrollins,1971,1.7,666826954-0
19,Citizen Gangster ,Trudy Sambrok,Creative Penguin House,1991,3.1,954801674-5
20,Mommie Dearest,Zackariah Kaesmans,ArdBoyz Education,2013,2.5,385413633-1
21,Mogambo,Freddie Shutle,ArdBoyz Education,2005,4.1,331732843-6
22,Unprecedented: The 2000 Presidential Election,Salim Firk,Stoic Corporation,1979,4.4,139914433-2
23,Tesla: Master of Lightning,Elonore Schooling,Hawkthrone Learning,1996,3.9,877462105-X
24,"Our Lady of the Assassins (Virgen de los sicarios, La)",Roxana Zum Felde,Hunter Mifflin,1982,2.1,932649395-4
25,Kinyarwanda,Mendel Stacy,Stoic Corporation,2023,2.9,167302811-X
26,"Last Time I Saw Paris, The",Casey Marre,ArdBoyz Education,1992,2.2,852592188-2
27,"Innocent, The",Fernanda Ellick,ArdBoyz Education,1986,3.4,187480390-0
